state,party,position,candidate_name,handle
Alabama,Democratic,U.S. Senate,Doug Jones (Alabama),sendougjones
Alabama,Democratic,U.S. Senate,Doug Jones (Alabama),dougjonesHQ
Alabama,Democratic,U.S. Senate,Doug Jones (Alabama),DougJones
Alabama,Republican,U.S. Senate,Arnold Mooney,ArnoldforAL
Alabama,Republican,U.S. Senate,Bradley Byrne,RepByrne
Alabama,Republican,U.S. Senate,Bradley Byrne,BradleyByrne
Alabama,Republican,U.S. Senate,Jeff Sessions,jeffsessions
Alabama,Republican,U.S. Senate,John Merrill,johnhmerrill
Alabama,Republican,U.S. Senate,Roy Moore,realJudgeMoore
Alabama,Republican,U.S. Senate,Stanley Adair,stanley_adair
Alabama,Republican,U.S. Senate,Tommy Tuberville,ttuberville
Alabama,Other parties,U.S. Senate,Michael Parrish (Alabama),citizenmike2020
Alabama,Democratic,U.S. House,Adia Winfrey,drdia
Alabama,Democratic,U.S. House,Frederick Collins (Alabama),RickCollins08
Alabama,Democratic,U.S. House,James Averhart,JAverhart2020
Alabama,Democratic,U.S. House,Kiani Gardner,KianiGardner
Alabama,Democratic,U.S. House,Nathan Mathis,olenate2020
Alabama,Democratic,U.S. House,Phyllis Harvey-Hall,PhyllisDHHall
Alabama,Democratic,U.S. House,Rick Neighbors,VoteNeighbors
Alabama,Democratic,U.S. House,Terri Sewell,RepTerriSewell
Alabama,Democratic,U.S. House,Terri Sewell,Sewell4Congress
Alabama,Republican,U.S. House,Barry Moore (Alabama),RepBarryMoore
Alabama,Republican,U.S. House,Bill Hightower,BillHightowerAL
Alabama,Republican,U.S. House,Chris Lewis (Alabama),LewisforAL
Alabama,Republican,U.S. House,Chris Pringle,PringleforAL01
Alabama,Republican,U.S. House,Gary Palmer,USRepGaryPalmer
Alabama,Republican,U.S. House,Gary Palmer,Palmer4Alabama
Alabama,Republican,U.S. House,Jeff Coleman (Alabama),JeffColemanAL
Alabama,Republican,U.S. House,Jeff Coleman (Alabama),JefffColeman
Alabama,Republican,U.S. House,Jerry Carl,CarlForAlabama
Alabama,Republican,U.S. House,Jessica Taylor (Alabama),JessicaTaylorAL
Alabama,Republican,U.S. House,John Castorani,johncastorani
Alabama,Republican,U.S. House,Mike Rogers (Alabama),RepMikeRogersAL
