candidate,twitter handle,party
Michael Bennet,@MichaelBennet,democratic
Michael Bennet,@SenatorBennet,democratic
Joe Biden,@JoeBiden,democratic
Joe Biden,@VP44,democratic
Michael R. Bloomberg,@MikeBloomberg,democratic
Pete Buttigieg,@PeteButtigieg,democratic
John Delaney,@JohnDelaney,democratic
Tulsi Gabbard,@TulsiGabbard,democratic
Tulsi Gabbard,@TulsiPress,democratic
Amy Klobuchar,@amyklobuchar,democratic
Amy Klobuchar,@SenAmyKlobuchar,democratic
Deval Patrick,@DevalPatrick,democratic
Bernie Sanders,@BernieSanders,democratic
Bernie Sanders,@SenSanders,democratic
Tom Steyer,@TomSteyer,democratic
Elizabeth Warren,@ewarren,democratic
Elizabeth Warren,@SenWarren,democratic
Andrew Yang,@AndrewYang,democratic
Joe Walsh,@WalshFreedom,republican
William F. Weld,@GovBillWeld,republican
